Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Total Reps,Total Sets,Total Routes,Climb Time,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Total Runs,Longest Run,Max Speed,Active Time,Total Run Distance,Avg Run Speed,Moving Time,Elapsed Time,Min Elevation,Max Elevation
"Padel,2024-10-29 18:18:11,false,""Padel"",""0.06"",""521"",""00:42:45"",""156"",""181"",""3.4"",""13"",""214"",""0.1"",""13.9"",""--"",""--"",""0.10"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""00:42:45"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:02:41"",""00:42:45"",""--"",""--"""
"Padel,2024-10-28 19:36:55,false,""Padel"",""0.27"",""1,049"",""01:26:18"",""159"",""185"",""4.7"",""18"",""222"",""0.2"",""13.9"",""--"",""--"",""0.17"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:26:18"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:05:17"",""01:26:18"",""--"",""--"""
"Tennis,2024-10-24 18:14:07,false,""Tennis"",""0.38"",""608"",""01:14:21"",""129"",""172"",""2.6"",""23"",""234"",""0.3"",""11.3"",""--"",""--"",""0.22"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:14:21"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:08:59"",""01:14:21"",""--"",""--"""
"Padel,2024-10-22 17:39:12,false,""Padel"",""0.16"",""912"",""01:20:55"",""149"",""186"",""4.3"",""13"",""231"",""0.1"",""9.9"",""--"",""--"",""0.15"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:20:55"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:02:21"",""01:20:55"",""--"",""--"""
"Hiking,2024-10-14 10:08:00,false,""Sodankylä Hiking"",""3.99"",""194"",""01:09:57"",""80"",""102"",""0.1"",""85"",""197"",""17:32"",""10:09"",""30"",""81"",""0.67"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:09:57"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""01:01:40"",""01:29:32"",""234"",""288"""
"Hiking,2024-10-13 14:26:49,false,""Sodankylä Hiking"",""0.75"",""39"",""00:13:39"",""79"",""93"",""0.0"",""91"",""115"",""18:16"",""13:32"",""--"",""8"",""0.60"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""00:13:39"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:12:17"",""00:13:39"",""283"",""294"""
"Hiking,2024-10-13 10:22:28,false,""Inari Hiking"",""9.35"",""541"",""02:23:35"",""91"",""119"",""0.5"",""100"",""125"",""15:21"",""7:12"",""181"",""173"",""0.65"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""02:23:35"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""02:16:42"",""02:46:09"",""329"",""477"""
"Tennis,2024-10-10 18:15:31,false,""Tennis"",""0.22"",""556"",""01:13:51"",""125"",""180"",""2.2"",""15"",""230"",""0.2"",""8.4"",""--"",""--"",""0.20"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:13:51"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:04:02"",""01:13:51"",""--"",""--"""
"Padel,2024-10-08 17:39:24,false,""Padel"",""0.13"",""823"",""01:21:11"",""144"",""183"",""3.4"",""13"",""243"",""0.1"",""10.6"",""--"",""--"",""0.12"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:21:11"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:02:28"",""01:21:11"",""--"",""--"""
"Padel,2024-10-06 09:53:58,false,""Padel"",""0.08"",""587"",""01:15:36"",""127"",""163"",""2.4"",""10"",""215"",""0.1"",""7.6"",""--"",""--"",""0.11"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:15:36"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:02:58"",""01:15:36"",""--"",""--"""
"Padel,2024-10-05 12:39:47,false,""Padel"",""0.17"",""793"",""01:21:04"",""142"",""169"",""3.1"",""15"",""226"",""0.1"",""9.4"",""--"",""--"",""0.14"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:21:04"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:03:27"",""01:21:04"",""--"",""--"""
"Tennis,2024-10-03 18:15:28,false,""Tennis"",""0.21"",""543"",""01:20:56"",""119"",""195"",""2.2"",""13"",""215"",""0.2"",""8.1"",""--"",""--"",""0.20"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""00:00:06.8"",""2"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:03:27"",""01:21:00"",""--"",""--"""
"Padel,2024-10-01 17:38:53,false,""Padel"",""0.18"",""786"",""01:23:14"",""139"",""172"",""3.1"",""12"",""214"",""0.1"",""12.3"",""--"",""--"",""0.19"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:23:14"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:04:14"",""01:23:14"",""--"",""--"""
"Padel,2024-09-30 16:11:23,false,""Padel"",""0.09"",""535"",""01:21:42"",""119"",""160"",""2.1"",""8"",""222"",""0.1"",""7.4"",""--"",""--"",""0.13"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:21:42"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:01:45"",""01:21:42"",""--"",""--"""
"Padel,2024-09-27 18:28:59,false,""Padel"",""0.26"",""859"",""01:32:58"",""140"",""177"",""3.1"",""15"",""250"",""0.2"",""12.0"",""--"",""--"",""0.19"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:32:58"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:04:20"",""01:32:58"",""--"",""--"""
"Tennis,2024-09-24 19:46:01,false,""Tennis"",""0.35"",""348"",""01:12:32"",""100"",""148"",""0.5"",""21"",""182"",""0.3"",""9.7"",""--"",""--"",""0.22"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:12:32"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:06:46"",""01:12:32"",""--"",""--"""
"Padel,2024-09-23 16:06:58,false,""Padel"",""0.13"",""562"",""01:23:44"",""118"",""167"",""2.1"",""13"",""224"",""0.1"",""12.3"",""--"",""--"",""0.12"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:23:44"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:02:29"",""01:23:44"",""--"",""--"""
"Padel,2024-09-21 17:08:50,false,""Padel"",""0.13"",""683"",""01:00:29"",""154"",""183"",""3.4"",""13"",""196"",""0.1"",""8.9"",""--"",""--"",""0.17"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:00:29"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:02:19"",""01:00:29"",""--"",""--"""
"Padel,2024-09-21 15:18:55,false,""Padel"",""0.14"",""647"",""00:59:29"",""151"",""181"",""3.3"",""15"",""240"",""0.1"",""5.7"",""--"",""--"",""0.15"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""00:59:29"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:02:34"",""00:59:29"",""--"",""--"""
"Padel,2024-09-21 13:03:25,false,""Padel"",""0.19"",""699"",""00:53:55"",""160"",""179"",""3.6"",""17"",""231"",""0.2"",""8.6"",""--"",""--"",""0.21"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""00:53:55"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:03:09"",""00:53:55"",""--"",""--"""
"Padel,2024-09-21 10:03:41,false,""Padel"",""0.32"",""842"",""01:14:39"",""157"",""182"",""3.9"",""19"",""237"",""0.3"",""12.0"",""--"",""--"",""0.22"",""--"",""--"",""--"",""--"",""--"",""0.0"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""No"",""01:14:39"",""1"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""00:05:08"",""01:14:39"",""--"",""--"""
